id,date,time,country,nearest_places,hazard_type,landslide_type,trigger,storm_name,fatalities,injuries,source_name,source_link,comments,location_description,location_accuracy,landslide_size,photos_link,cat_src,cat_id,countryname,near,distance,adminname1,adminname2,population,countrycode,continentcode,key,version,tstamp,changeset_id,latitude,longitude,geolocation
5509,09/12/2013,,United States,"Golden, Co",landslide,Landslide,Rain,,,,google.org,http://google.org/crisismap/2013-boulder-floods,Rockslide,,Known_within_1_km,Medium,,glc,5509,United States,Coal Creek,3.762,Colorado,Boulder County,2400,US,NA,DJ8665dcW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,39.895800000000001,-105.3357,"(39.895800000000001, -105.3357)"
7530,02/27/2016,15:30,,the Banks to Lowman Road,landslide,Rock_Fall,Rain,,0,1,KTVB,http://www.ktvb.com/news/local/itd-working-to-remove-big-boulder-from-highway-55/61742140,"In Boise County, a man was injured while driving on the Banks to Lowman Road on Saturday afternoon when a boulder struck the top of his Honda Accord and the windshield. Authorities say the man suffered a head laceration and was taken to Saint Alphonsus in Boise for treatment.",Above_road,Known_within_10km,Small,http://content.krem.com/photo/2016/02/28/Rock%20slide_1456674547808_462960_ver1.0.jpg,glc,7530,United States,Idaho City,24.160640000000001,Idaho,obe,485,US,NA,D5Ho0fMIsk,2,Mon Feb 29 2016 22:16:24 GMT+0000 (UTC),4112533001,44.103999999999999,-116.0033,"(44.103999999999999, -116.0033)"
7529,02/27/2016,,,Highway 55 near Smiths Ferry,landslide,Rock_Fall,Unknown,,0,0,KTVB,http://www.ktvb.com/news/local/itd-working-to-remove-big-boulder-from-highway-55/61742140,A large boulder fell on Highway 55 near Smiths Ferry on Saturday. Fortunately no one was hurt. The boulder is on the shoulder of the road and both lanes of traffic are open.,Above_road,Known_within_15km,Small,http://content.ktvb.com/photo/2016/02/29/Rockfall%2055%20ITD%202_1456782100595_660213_ver1.0.jpg,glc,7529,United States,Cascade,22.787279999999999,Idaho,obe,939,US,NA,S51dcKMMhn,1,Mon Feb 29 2016 21:58:43 GMT+0000 (UTC),3766295569,44.3127,-116.07599999999999,"(44.3127, -116.07599999999999)"
7540,02/26/2016,21:06,,northbound Interstate 77 at mile marker 21,landslide,Rock_Fall,Unknown,,0,0,Bluefield Daily Telegraph,http://www.bdtonline.com/news/rockslide-snarls-traffic-on-i/article_c6108844-d85b-11e5-b911-dbd4e7689f1a.html,"There were no injuries reported in the accident, according to Capt. M.R. Crowder, with the West Virginia State Police.",Above_road,Known_within_25km,Small,http://bloximages.chicago2.vip.townnews.com/bdtonline.com/content/tncms/assets/v3/editorial/0/ee/0ee87892-d85c-11e5-a10c-1bd447a36493/56c94b831e53f.image.jpg,glc,7540,United States,Athens,12.006779999999999,West Virginia,obe,1048,US,NA,D5RWMe0khl,1,Thu Mar 03 2016 03:05:16 GMT+0000 (UTC),3659565428,37.501100000000001,-81.109300000000005,"(37.501100000000001, -81.109300000000005)"
7474,12/01/2015,,,road to Restoration Village Farm,landslide,Landslide,Rain,,0,0,Restoration Village Farm,http://www.restorationvillagefarm.com/tag/port-antonio/,Numerous small slides,Above_road,Known_within_5km,Medium,http://www.restorationvillagefarm.com/wp-content/uploads/151210-Clearing-road-after-storm-17-450x600_c.jpg,glc,7474,Jamaica,Port Antonio,4.68732,Portland,obe,14400,JM,NA,SGiWGT3JJ8,1,Tue Feb 09 2016 01:32:41 GMT+0000 (UTC),2310518521,18.134,-76.455100000000002,"(18.134, -76.455100000000002)"
6098,06/23/2014,,Nicaragua,El Ayote,landslide,Landslide,Continuous_rain,,0,0,Correspondence with Wilfried Strauch,,,unknown,Exact_location,Medium,,glc,6098,Nicaragua,Santo Domingo,28.902940000000001,Chontales,,5827,NI,NA,hJbaAWaxwtD,1,Sun Aug 24 2014 00:00:00 GMT+0000 (UTC),1,12.312900000000001,-84.819900000000004,"(12.312900000000001, -84.819900000000004)"
6096,06/23/2014,,Nicaragua,El Ayote,landslide,Landslide,Continuous_rain,,0,0,Correspondence with Wilfried Strauch,,,unknown,Exact_location,Medium,,glc,6096,Nicaragua,Santo Domingo,29.952529999999999,Chontales,,5827,NI,NA,S5EcS_i4eXetD,1,Sun Aug 24 2014 00:00:00 GMT+0000 (UTC),1,12.349,-84.819500000000005,"(12.349, -84.819500000000005)"
3866,07/30/2011,,United States,"Red Canyon Road, Garfield County, CO",landslide,Mudslide,Rain,,0,,,,"Several Garfield County roads were so badly damaged during recent torrential rains and floods, the county is having to sidestep its own rules to get them fixed quickly.  County Roads 320 (the Rifle-Rulison Road), 115 (Red Canyon Road) and 100 (Catherine Store Road) in Missouri Heights were closed in late July as a result of mudslides and rockfalls along certain stretches.  Public Works Director Betsy Suerth got permission on Monday from the Garfield Board of County Commissioners (BOCC) to spent an estimated $2 million to fix the roads, and to do so in an â€œexpedited mannerâ€ to get the roads open to the public as quickly as possible.  â€œI believe that the damages have caused unsafe conditions and pose a threat to the safety of the public,â€ Suerth told the BOCC.  County attorney Andrew Gorgey assured the BOCC that state law does allow for such shortcuts in the case of emergencies.  That means the county's normal procurement system, in particular the advertisement for requests for proposals from interested contractors, will be skipped.  In fact, one contract, for $459,548 to fix the Rifle-Rulison Road, was awarded on Monday to the Con-Sy Inc. company of Rifle.  Con-Sy was the low bidder in a list of three firms, which included Frontier Paving and Aspen Earth Moving.  Commissioner Mike Samson, agreeing with the other two commissioners that â€œwe definitely have to do something,â€ balked at spending $2 million so quickly.  â€œIs there another approach to this?â€ he asked.  Although the contract for one road already has been awarded, Garfield County procurement officer Jim Hackett said it will be another 10 days before the same could be done for the other two roads.  In the meantime, Commissioner John Martin suggested that the need to fix Red Canyon Road, in particular, should be examined.  â€œThat has been deemed an argument since the creation of 115 Road itself,â€ he remarked. â€œDoes it really need to be open, because it's such a dangerous road.â€  Garfield County officials have debated the subject for years, bickering about the narrow road enclosed by steep canyon walls that, on one side, form a sheer drop to the floor far below. In winter, the steep canyon walls allows in little sun to melt accumulated snow and ice, making the road even more treacherous.  County Manager Ed Green said the county could look at rebuilding Red Canyon Road to make it safer, a project he predicted could cost as much a $28 million.  No decisions were made other than a unanimous vote to award the Rifle-Rulison Road project to Con-Sy, for $459,548. With other costs not included in the contract, the project is to cost up to $650,000.  jcolson@postindependent.com ",,Known_within_10_km,Small,,glc,3866,United States,Glenwood Springs,10.57117,Colorado,Garfield,9614,US,NA,S5A2SJmQW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,39.497700000000002,-107.2225,"(39.497700000000002, -107.2225)"
3865,07/30/2011,,United States,"Catherine Store Road, Garfield County, CO",landslide,Mudslide,Rain,,0,,,,"Several Garfield County roads were so badly damaged during recent torrential rains and floods, the county is having to sidestep its own rules to get them fixed quickly.  County Roads 320 (the Rifle-Rulison Road), 115 (Red Canyon Road) and 100 (Catherine Store Road) in Missouri Heights were closed in late July as a result of mudslides and rockfalls along certain stretches.  Public Works Director Betsy Suerth got permission on Monday from the Garfield Board of County Commissioners (BOCC) to spent an estimated $2 million to fix the roads, and to do so in an â€œexpedited mannerâ€ to get the roads open to the public as quickly as possible.  â€œI believe that the damages have caused unsafe conditions and pose a threat to the safety of the public,â€ Suerth told the BOCC.  County attorney Andrew Gorgey assured the BOCC that state law does allow for such shortcuts in the case of emergencies.  That means the county's normal procurement system, in particular the advertisement for requests for proposals from interested contractors, will be skipped.  In fact, one contract, for $459,548 to fix the Rifle-Rulison Road, was awarded on Monday to the Con-Sy Inc. company of Rifle.  Con-Sy was the low bidder in a list of three firms, which included Frontier Paving and Aspen Earth Moving.  Commissioner Mike Samson, agreeing with the other two commissioners that â€œwe definitely have to do something,â€ balked at spending $2 million so quickly.  â€œIs there another approach to this?â€ he asked.  Although the contract for one road already has been awarded, Garfield County procurement officer Jim Hackett said it will be another 10 days before the same could be done for the other two roads.  In the meantime, Commissioner John Martin suggested that the need to fix Red Canyon Road, in particular, should be examined.  â€œThat has been deemed an argument since the creation of 115 Road itself,â€ he remarked. â€œDoes it really need to be open, because it's such a dangerous road.â€  Garfield County officials have debated the subject for years, bickering about the narrow road enclosed by steep canyon walls that, on one side, form a sheer drop to the floor far below. In winter, the steep canyon walls allows in little sun to melt accumulated snow and ice, making the road even more treacherous.  County Manager Ed Green said the county could look at rebuilding Red Canyon Road to make it safer, a project he predicted could cost as much a $28 million.  No decisions were made other than a unanimous vote to award the Rifle-Rulison Road project to Con-Sy, for $459,548. With other costs not included in the contract, the project is to cost up to $650,000.  jcolson@postindependent.com ",,Known_within_10_km,Small,,glc,3865,United States,El Jebel,4.90954,Colorado,Eagle County,3801,US,NA,h5ToDJFB4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,39.427399999999999,-107.12909999999999,"(39.427399999999999, -107.12909999999999)"
3852,07/27/2011,,United States,"Tent Rocks, NM",landslide,Debris_Flow,Downpour,,0,,,http://www.youtube.com/watch?v=XvknaGRbBFg,"Nature- debris flow after monsoon @ Tent Rocks, NM",,Unknown,Small,,glc,3852,United States,Hurley,17.954139999999999,New Mexico,Grant County,1297,US,NA,hG0bD5FB7,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,32.620899999999999,-107.9645,"(32.620899999999999, -107.9645)"
3842,07/25/2011,,United States,"U.S. 160 just east of  FORT GARLAND, CO",landslide,Landslide,Rain,,0,,,http://www.chieftain.com/news/local/u-s-at-fort-garland-reopens-after-mudslide/article_81b8cfa2-b723-11e0-84dd-001cc4c03286.html,"By MATT HILDNER | matth@chieftain.com | 0 comments    FORT GARLAND â€” U.S. 160 just east of here reopened to traffic at 8 p.m. Monday evening following a mudslide cleanup.   Heavy rainfall sent a torrent of mud onto the roadway just before 5:30 p.m. Monday evening, closing the highway.   The slide occurred roughly 1 mile east of town. There were no estimates of how much mud covered the roadway, said Capt. George Dingfelder of the Colorado State Patrol.   Dingfelder said state road crews were sent to clear the road.   No alternate route was established during the closure.",,Known_within_10_km,Small,,glc,3842,United States,San Luis,25.381609999999998,Colorado,Costilla County,629,US,NA,h9a9IJFQW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,37.428800000000003,-105.447,"(37.428800000000003, -105.447)"
7526,02/24/2016,morning,,Sherman Access where it joins the Kenilworth Access,landslide,Rock_Fall,Freeze_thaw,,0,0,Hamilton Spectator,http://www.thespec.com/news-story/6341970-falling-rock-closes-sherman-access/,Staff Sgt. Carol Pacey said the downbound access was closed where it joins the Kenilworth Access at 10:30 a.m. after a car collided with two large rocks.,Above_road,Known_within_5km,Small,,glc,7526,Canada,Hamilton,2.00473,Ontario,obe,519949,CA,NA,S9EfV7kND8,2,Tue Mar 01 2016 00:37:31 GMT+0000 (UTC),902496908,43.237200000000001,-79.832400000000007,"(43.237200000000001, -79.832400000000007)"
3835,07/22/2011,,Mexico,Michoacan,landslide,Landslide,Tropical_Cyclone,Hurricane Dora,0,,,,"The Mexican authorities remained on high alert Thursday as torrential rains and sea waves over 4 meters high slammed the coastline in five states on the Pacific, causing widespread flooding and landslides.  Dora continued to be ""an extremely dangerous"" Category 4 hurricane with sustained winds reaching as much as 250 kilometers per hour and with the highest gusts measured at 305 kilometers per hour, the Miami-based U.S. National Hurricane Center (NHC) said.  The rains and winds from Dora, which was moving along Mexico's Pacific coast, were reported to cause flooding, landslides and falling trees in the Southern States of Chiapas and Gurrero and central states of Michoacan, Nayarit and Colima, an official at Mexico's National Metrological Center said.  There were no immediate reports of casualties, but emergency personal were on full alert as Dora is expected to continue to move along the coast for several more days, dumping rain on vulnerable mountain communities where soils easily saturate and lead to landslides.  Mexico's Navy Ministry said the danger index measured for the powerful storm was ""severe"" because of the affects of the elevated waves with undercurrents while the NHC said Dora continued to cause ""life-threatening"" conditions in the coastal areas.  The NHC said Dora may strengthen further and become a Category 5 hurricane later Thursday before it starts weakening sometime Friday when moving further out over the Pacific Ocean in north- western direction.  At 14:00 local time (19:00 GMT), Dura was located about 250 kilometers southwest of the port of Mazanillo, and about 390 kilometers south-southwest of the popular beach resort town of Puerto Vallarta.",,Unknown,Medium,,glc,3835,Mexico,JarÃ¡cuaro,3.36905,MichoacÃ¡n,ErongarÃcuaro,2817,MX,NA,hG-QIGdcW,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,19.580500000000001,-101.70229999999999,"(19.580500000000001, -101.70229999999999)"
3812,07/19/2011,,United States,"Metcalf Road, Avon, CO",landslide,Landslide,Rain,,0,,,http://www.vaildaily.com/article/20110719/NEWS/110729988/1078&ParentProfile=1062,"AVON, Colorado â€” An afternoon downpour caused a mudslide on Metcalf Road in Avon Tuesday afternoon, closing the road for an hour or so. Another couple of small slides were reported along Nottingham road nearby.  The slide happened right after a fast-moving thunderstorm hit the valley, at about 5 p.m. Mud flowed across the road about a half-mile north of the intersection with Nottingham road. Town of Avon public works crews got to work hauling the mud away, and had the road open around 6 p.m. ",,Known_within_5_km,Small,,glc,3812,United States,Avon,2.35855,Colorado,Eagle County,6447,US,NA,s9ZCh5gQ4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,39.6492,-106.5372,"(39.6492, -106.5372)"
3834,07/22/2011,,Mexico,Gurrero,landslide,Landslide,Tropical_Cyclone,Hurricane Dora,0,,,,"The Mexican authorities remained on high alert Thursday as torrential rains and sea waves over 4 meters high slammed the coastline in five states on the Pacific, causing widespread flooding and landslides.  Dora continued to be ""an extremely dangerous"" Category 4 hurricane with sustained winds reaching as much as 250 kilometers per hour and with the highest gusts measured at 305 kilometers per hour, the Miami-based U.S. National Hurricane Center (NHC) said.  The rains and winds from Dora, which was moving along Mexico's Pacific coast, were reported to cause flooding, landslides and falling trees in the Southern States of Chiapas and Gurrero and central states of Michoacan, Nayarit and Colima, an official at Mexico's National Metrological Center said.  There were no immediate reports of casualties, but emergency personal were on full alert as Dora is expected to continue to move along the coast for several more days, dumping rain on vulnerable mountain communities where soils easily saturate and lead to landslides.  Mexico's Navy Ministry said the danger index measured for the powerful storm was ""severe"" because of the affects of the elevated waves with undercurrents while the NHC said Dora continued to cause ""life-threatening"" conditions in the coastal areas.  The NHC said Dora may strengthen further and become a Category 5 hurricane later Thursday before it starts weakening sometime Friday when moving further out over the Pacific Ocean in north- western direction.  At 14:00 local time (19:00 GMT), Dura was located about 250 kilometers southwest of the port of Mazanillo, and about 390 kilometers south-southwest of the popular beach resort town of Puerto Vallarta.",,Unknown,Medium,,glc,3834,Mexico,Chilpancingo de los Bravos,6.8095,Guerrero,,165250,MX,NA,s5ufMJgKU,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,17.497399999999999,-99.537999999999997,"(17.497399999999999, -99.537999999999997)"
3409,04/25/2011,,United States,"Dugan Gap rd. between Cliff rd. and Lawrenceburg rd., North Bend, OH",landslide,Landslide,Downpour,,0,,,http://www.wvxu.org/news/wvxunews_article.asp?ID=8751,"4/27/2011 5:20:27 PM  Dugan Gap (Between Cliff & Lawrenceburg) Ted Hubbard with the Hamilton County Engineerâ€™s Office says landslides have closed several roads and employees are keeping their eyes on other roads and debris around bridges.  â€œPart of the problem is the geology that we have. We have a lot of silty, sandy clays that get wet and when they get wet they tend to slip. They get heavy and they get slick and thatâ€™s what causes the slide,â€ he says. ",,Known_within_1_km,Small,,glc,3409,United States,Cleves,4.50908,Ohio,Hamilton County,3234,US,NA,h98ft5gQ4,1,Tue Apr 01 2014 00:00:00 GMT+0000 (UTC),1,39.136899999999997,-84.790400000000005,"(39.136899999999997, -84.790400000000005)"
7532,02/26/2016,15:00,,Interstate 75 North at mile marker 142 in Campbell County,landslide,Rock_Fall,Unknown,,0,0,Commercial Appeal,http://www.commercialappeal.com/news/regional/rock-slide-shuts-down-i-75-in-east-tenn-2cdbcd44-766a-4540-e053-0100007f644a-370439971.html,"Debris continued to tumble onto Interstate 75 in Campbell County north of Knoxville on Sunday after a ""significant"" rock slide shut down all lanes Friday afternoon, state officials said.",Above_road,Known_within_50km,Small,http://media.jrn.com/images/660*388/M0012919663--674603.JPG,glc,7532,United States,Jacksboro,8.433210000000001,Tennessee,obe,2020,US,NA,sJ3ZoUNISl,1,Mon Feb 29 2016 22:49:02 GMT+0000 (UTC),1493169019,36.383299999999998,-84.250799999999998,"(36.383299999999998, -84.250799999999998)"
7528,02/24/2016,4:00,,"â€œthe narrows.â€, Antiquity, OH",landslide,Rock_Fall,Rain,,0,0,Pomeroy Daily Sentinel,http://mydailysentinel.com/top-stories/4538/rockslide-blocks-s-r-124-in-meigs,"Drivers encountered hazardous road conditions early Wednesday morning as a result of falling rocks on State Route 124 in Antiquity, a small town in Meigs County located between Racine and Letart Falls.",Above_road,Known_within_5km,Small,http://mydailysentinel.com/wp-content/uploads/2016/02/web1_Rock-Slide-002.jpg,glc,7528,United States,New Haven,6.83465,Ohio,obe,1560,US,NA,S5bm-aQ05l,1,Fri Feb 26 2016 14:17:03 GMT+0000 (UTC),2444558842,38.951900000000002,-81.908199999999994,"(38.951900000000002, -81.908199999999994)"
7520,02/24/2016,night,,Cornell Road between Steubenville Pike and Yale Road,landslide,Rock_Fall,Rain,,0,0,WPXI,http://www.wpxi.com/news/news/local/rockslide-forces-closure-allegheny-county-road/nqXnc/,"A rockslide forced the closure of a road in Thornburg, Allegheny County Wednesday night.",Above_road,Known_within_1km,Small,http://media.cmgdigital.com/shared/img/photos/2016/02/25/f9/f1/thornburg_landslide.jpg,glc,7520,United States,Crafton,1.45894,Pennsylvania,obe,5951,US,NA,SGKZ_nFp5l,1,Fri Feb 26 2016 11:44:16 GMT+0000 (UTC),1800815233,40.4377,-80.082999999999998,"(40.4377, -80.082999999999998)"
7522,02/24/2016,,,Cascade Drive Giles County,landslide,Rock_Fall,Unknown,,0,0,NEWSSHINE,http://www.newsshine.com/us-local-news/virginia/local/289906-rock-slide-blocking-route-623-in-giles-county.html,The rock slide is about three miles north of Route 460 in the Pembroke area.,Above_road,Known_within_5km,Medium,,glc,7522,United States,Pembroke,3.21144,Virginia,obe,1128,US,NA,SGIB0_mp9n,1,Fri Feb 26 2016 12:27:50 GMT+0000 (UTC),2728876539,37.3444,-80.6203,"(37.3444, -80.6203)"
7519,02/24/2016,,,"Route 696 near the intersection of Route 702, Tazewell County, VA",landslide,Landslide,Unknown,,0,0,WJHL,http://wjhl.com/2016/02/24/rockslide-could-leave-sw-virginia-roadway-closed-for-a-week/,Virginia Department of Transportation officials say a rockslide could take several days to clear.,Above_road,Known_within_1km,Medium,"https://mgtvwjhl.files.wordpress.com/2016/02/route-696-february-2016-slide-photo-2-compresssed.jpg?w=650,https://mgtvwjhl.files.wordpress.com/2016/02/route-696-february-2016-slide.jpg?w=300&h=169",glc,7519,United States,Springville,8.584429999999999,Virginia,obe,1371,US,NA,D5evh6Fp5k,1,Fri Feb 26 2016 11:34:18 GMT+0000 (UTC),1477514412,37.2699,-81.372399999999999,"(37.2699, -81.372399999999999)"
7539,02/23/2016,,,"U.S. Route 52, Kyle, WV",landslide,Landslide,Rain,,0,0,Bluefield Daily Telegraph,http://www.bdtonline.com/news/officials-caution-motorists-more-hazardous-rockslides-are-possible/article_0d74f30c-d9e0-11e5-94c4-4b44a7b79570.html,"Tom Camden, manager of WVDOH District 10, said it was â€œnot a major slideâ€ and no vehicles or people were involved.",Above_road,Known_within_1km,Small,http://bloximages.chicago2.vip.townnews.com/bdtonline.com/content/tncms/assets/v3/editorial/2/ef/2ef4f89c-d9e0-11e5-89e5-ebd74344a6ee/56cbd696562ba.image.jpg,glc,7539,United States,Welch,14.19735,West Virginia,obe,2406,US,NA,hJGx9H38s8,1,Thu Mar 03 2016 02:50:40 GMT+0000 (UTC),1529622586,37.409599999999998,-81.4268,"(37.409599999999998, -81.4268)"
7537,02/22/2016,0:00,,U.S. 119 about a half mile off the Mink Shoals exit of Interstate 79,landslide,Mudslide,Unknown,,0,0,Charleston Gazette,http://www.wvgazettemail.com/news/20160222/us-119-near-mink-shoals-reopened-after-2-rock-slides,A portion of U.S. 119 about a half mile off the Mink Shoals exit of Interstate 79 reopened around 6 p. Monday after workers finished responding to two rockslides.,Natural_slope,Known_within_5km,Small,http://www.wvgazettemail.com/apps/pbcsi.dll/storyimage/CH/20160222/GZ01/160229866/AR/0/AR-160229866.jpg&imageVersion=SoftCropArticlePictures,glc,7537,United States,Charleston,6.84721,West Virginia,obe,51400,US,NA,S51KMG3lsn,2,Thu Mar 03 2016 02:03:39 GMT+0000 (UTC),2431771855,38.398699999999998,-81.584800000000001,"(38.398699999999998, -81.584800000000001)"
7524,02/21/2016,14:00,,Route 119 between Hardingâ€™s Family Restaurant and Rue Street,landslide,Landslide,Unknown,,0,0,WQBE,http://www.wqbe.com/rockslide-changes-bus-route/,The road was closed between Big Chimney and Mink Shoals for more than a day as crews removed the large boulders and mud from the road.,Above_road,Known_within_1km,Medium,http://www.wvgazettemail.com/apps/pbcsi.dll/storyimage/CH/20160222/GZ01/160229866/EP/1/2/EP-160229866.jpg&MaxW=332&imageVersion=SoftCropArticlePictures,glc,7524,United States,Charleston,6.43349,West Virginia,obe,51400,US,NA,sGCud938Sl,2,Thu Mar 03 2016 02:04:53 GMT+0000 (UTC),1093950336,38.398899999999998,-81.584999999999994,"(38.398899999999998, -81.584999999999994)"
7471,02/19/2016,,,Villa Linda Vista North and South,landslide,Landslide,Rain,,0,0,Hoy,http://www.hoy.com.ni/2015/09/26/r%C3%ADo-ahoga-a-tres-ni%C3%B1as/,there were small landslides from the top of the road.  Ver contenido original de esta noticia en: http://www.hoy.com.ni/2015/09/26/r%C3%ADo-ahoga-a-tres-ni%C3%B1as/,Below_road,Known_within_1km,Small,,glc,7471,Nicaragua,Jinotega,2.4488,Jinotega,obe,51073,NI,NA,hJGYt7WJGn,1,Mon Feb 08 2016 22:29:53 GMT+0000 (UTC),2852133654,13.080500000000001,-85.992500000000007,"(13.080500000000001, -85.992500000000007)"
