FY 05/06,FY 06/07,FY 07/08,FY 08/09,FY 09/10,FY 10/11,FY 11/12,FY 12/13,Location 1
35,38,36,35,31,31,32,14,"91303
(34.19807340300048, -118.59909883299969)"
45,52,48,46,38,39,39,36,"90077
(34.10409093400045, -118.45101669999968)"
49,53,48,47,39,40,41,17,"90027
(34.10546395500046, -118.2923675139997)"
30,31,30,28,26,26,26,12,"90034
(34.02829231300046, -118.40269589399969)"
49,55,51,48,40,40,42,33,"91356
(34.16990038700044, -118.5404890529997)"
23,23,22,21,19,19,19,10,"90018
(34.03077331100047, -118.31686899999971)"
39,42,41,40,32,31,35,15,"91352
(34.22551211300049, -118.37651723499971)"
33,33,30,29,27,27,28,10,"90023
(34.02418193800048, -118.20195663999971)"
25,25,23,22,20,20,20,11,"90247
(33.89189390000047, -118.29849831699971)"
26,28,25,24,21,21,22,12,"90732
(33.73946241700048, -118.31340603099972)"
76,76,74,72,63,67,68,28,"90024
(34.06136215000049, -118.4402367409997)"
34,35,35,35,33,32,33,9,"90292
(33.98163129900047, -118.4511079449997)"
74,74,67,65,63,63,63,25,"90005
(34.05907233200048, -118.30301712299968)"
27,29,26,25,23,23,23,9,"90031
(34.07752122500045, -118.2131059239997)"
32,33,32,30,27,27,27,19,"90046
(34.097151960000474, -118.35826821299969)"
42,42,34,33,30,27,26,10,"90058
(34.00184426500044, -118.22112680399971)"
30,31,29,27,24,23,24,14,"91606
(34.18673293900048, -118.3868062089997)"
34,36,34,32,29,29,29,21,"91604
(34.14446038000045, -118.3942796179997)"
35,38,36,34,28,28,29,20,"91304
(34.22192313800048, -118.60967892099967)"
42,46,43,41,36,35,36,30,"90049
(34.06172278600047, -118.4722594319997)"
18,19,17,17,15,15,16,9,"90063
(34.044881544000475, -118.18593660399972)"
21,22,20,19,18,18,18,10,"90016
(34.02888323300044, -118.35308896599969)"
27,28,26,25,24,23,23,11,"90501
(33.82909119100049, -118.3142098569997)"
29,31,28,27,23,23,24,14,"91605
(34.20546425700047, -118.40193986299971)"
31,33,31,29,27,26,28,15,"91411
(34.17933339400048, -118.45792960399967)"
37,39,36,35,32,33,34,16,"90036
(34.06889204400045, -118.35077742299967)"
