ID,Species,Sex,BodyLength,BodyMass
129,Nephila_clavipes,M,17.53,16.38
130,Nephila_clavipes,M,23.355,11.26
131,Nephila_clavipes,M,20.729,3.85
132,Nephila_clavipes,M,16.221,6.91
133,Nephila_clavipes,M,15.374,8.72
134,Nephila_clavipes,M,26.385,18.56
135,Nephila_clavipes,M,19.615,17.31
136,Nephila_clavipes,M,16.698,7.15
137,Nephila_clavipes,M,20.789,18.39
138,Nephila_clavipes,M,24.581,9.94
139,Nephila_clavipes,M,20.961,4.75
140,Nephila_clavipes,M,21.585,7.6
141,Nephila_clavipes,M,15.205,4.87
142,Nephila_clavipes,M,22.407,13.23
143,Nephila_clavipes,M,21.397,6.47
144,Nephila_clavipes,M,19.875,12.44
145,Nephila_clavipes,M,17.464,4.77
146,Nephila_clavipes,M,21.55,10.95
147,Nephila_clavipes,M,19.434,18.47
148,Nephila_clavipes,M,17.02,4.3
149,Nephila_clavipes,M,26.88,86.84
150,Nephila_clavipes,M,20.296,5.67
151,Nephila_clavipes,F,58.625,110.66
152,Nephila_clavipes,F,73.26,121.09
153,Nephila_clavipes,F,59.967,1283.28
154,Nephila_clavipes,F,47.824,72.19
155,Nephila_clavipes,F,57.747,87.46
156,Nephila_clavipes,F,63.569,1034.46
157,Nephila_clavipes,F,78.719,1275.72
158,Nephila_clavipes,F,52.435,158.11
159,Nephila_clavipes,F,64.95,95.96
160,Nephila_clavipes,F,54.506,39.84
161,Nephila_clavipes,F,49.443,26.17
162,Nephila_clavipes,F,68.78,212.95
163,Nephila_clavipes,F,67.026,301.79
164,Nephila_clavipes,F,50.1,62.07
165,Nephila_clavipes,F,52.109,141.91
166,Nephila_clavipes,F,51.242,246.91
167,Nephila_clavipes,F,49.137,96.11
168,Nephila_clavipes,F,57.605,308.98
169,Nephila_clavipes,F,64.631,276.33
170,Nephila_clavipes,F,50.816,39.34
171,Nephila_clavipes,F,57.969,369.26
172,Nephila_clavipes,F,49.348,73.47
173,Nephila_clavipes,F,50.084,332.26
174,Nephila_clavipes,F,40.675,58.5
175,Nephila_clavipes,F,64.293,136.73
176,Nephila_clavipes,F,65.078,362.35
177,Nephila_clavipes,F,45.34,101.26
178,Nephila_clavipes,F,61.923,131.29
179,Nephila_clavipes,F,64.612,131.79
180,Nephila_clavipes,F,38.811,53.33
181,Nephila_clavipes,F,50.194,45.31
182,Nephila_clavipes,F,43.348,75.29
183,Nephila_clavipes,F,56.784,334.3
184,Nephila_clavipes,F,45.577,146.58
185,Nephila_clavipes,F,63.706,79.43
186,Nephila_clavipes,F,49.106,145.16
187,Nephila_clavipes,F,55.504,184.92
188,Nephila_clavipes,F,40.598,71.96
189,Nephila_clavipes,F,58.325,161.2
190,Nephila_clavipes,F,40.473,56.45
191,Nephila_clavipes,F,58.516,98.67
192,Nephila_clavipes,F,48.276,70.09
193,Nephila_clavipes,F,56.9,757.07
194,Nephila_clavipes,F,50.086,42.56
195,Nephila_clavipes,F,49.173,77.51
196,Nephila_clavipes,F,54.067,113.77
197,Nephila_clavipes,F,59.701,149.45
198,Nephila_clavipes,F,53.695,218.03
199,Nephila_clavipes,F,52.272,534.31
200,Nephila_clavipes,F,35.742,57.6
